attempts,clock,date,game_id,interruptions,makes,opponent,period,player_id,player_name,result_sequence,segment,trip_id,trip_length,trip_type,venue
2,8:17,2025-11-13,401810075,,1,SA,4,6430,Jimmy Butler III,M-X,Regular Season,401810075-401810075574,2,shooting,away
2,4:02,2025-11-13,401810075,,2,SA,4,3975,Stephen Curry,M-M,Regular Season,401810075-401810075645,2,shooting,away
2,18.4,2025-11-13,401810075,,2,SA,4,6430,Jimmy Butler III,M-M,Regular Season,401810075-401810075707,2,transition-take,away
2,11.9,2025-11-13,401810075,,2,SA,4,3975,Stephen Curry,M-M,Regular Season,401810075-401810075739,2,transition-take,away
2,2.1,2025-11-13,401810075,,2,SA,4,4432171,Moses Moody,M-M,Regular Season,401810075-401810075735,2,shooting,away
2,5:00,2025-11-15,401809789,,2,SA,1,3975,Stephen Curry,M-M,Regular Season,401809789-401809789102,2,shooting,away
2,11:48,2025-11-15,401809789,,2,SA,2,6430,Jimmy Butler III,M-M,Regular Season,401809789-401809789186,2,transition-take,away
2,9:40,2025-11-15,401809789,,1,SA,2,4709138,Brandin Podziemski,M-X,Regular Season,401809789-401809789203,2,shooting,away
2,9:34,2025-11-15,401809789,,1,SA,3,6430,Jimmy Butler III,M-X,Regular Season,401809789-401809789371,2,shooting,away
2,6:50,2025-11-15,401809789,timeout,2,SA,3,6430,Jimmy Butler III,M-M,Regular Season,401809789-401809789418,2,shooting,away
2,6:05,2025-11-15,401809789,,2,SA,3,6430,Jimmy Butler III,M-M,Regular Season,401809789-401809789427,2,shooting,away
1,3:36,2025-11-15,401809789,substitution,1,SA,3,3975,Stephen Curry,M,Regular Season,401809789-401809789467,1,and-one,away
3,7:12,2025-11-15,401809789,,3,SA,4,3975,Stephen Curry,M-M-M,Regular Season,401809789-401809789603,3,technical,away
2,6.4,2025-11-15,401809789,,2,SA,4,3975,Stephen Curry,M-M,Regular Season,401809789-401809789694,2,shooting,away
1,8:53,2025-11-17,401810092,timeout,1,NO,1,6430,Jimmy Butler III,M,Regular Season,401810092-40181009250,1,and-one,away
3,8:30,2025-11-17,401810092,review/challenge,3,NO,1,3975,Stephen Curry,M-M-M,Regular Season,401810092-40181009264,3,shooting,away
2,10:04,2025-11-17,401810092,,1,NO,2,4593016,Quinten Post,X-M,Regular Season,401810092-401810092210,2,shooting,away
2,1:50,2025-11-17,401810092,,2,NO,2,6430,Jimmy Butler III,M-M,Regular Season,401810092-401810092357,2,shooting,away
2,4:52,2025-11-17,401810092,,1,NO,3,4432171,Moses Moody,X-M,Regular Season,401810092-401810092492,2,shooting,away
2,3:57,2025-11-17,401810092,,1,NO,3,3975,Stephen Curry,X-M,Regular Season,401810092-401810092512,2,shooting,away
1,11:30,2025-11-17,401810092,,1,NO,4,4432171,Moses Moody,M,Regular Season,401810092-401810092579,1,and-one,away
2,10:31,2025-11-17,401810092,,2,NO,4,4432171,Moses Moody,M-M,Regular Season,401810092-401810092591,2,shooting,away
2,8:55,2025-11-17,401810092,,2,NO,4,6430,Jimmy Butler III,M-M,Regular Season,401810092-401810092606,2,shooting,away
2,10:37,2025-11-19,401810104,,1,ORL,1,4432171,Moses Moody,M-X,Regular Season,401810104-40181010416,2,shooting,away
2,6:20,2025-11-19,401810104,,2,ORL,1,6430,Jimmy Butler III,M-M,Regular Season,401810104-40181010464,2,shooting,away
2,3:44,2025-11-19,401810104,,1,ORL,1,3975,Stephen Curry,X-M,Regular Season,401810104-401810104105,2,shooting,away
2,30.7,2025-11-19,401810104,,2,ORL,1,6430,Jimmy Butler III,M-M,Regular Season,401810104-401810104152,2,shooting,away
2,3:17,2025-11-19,401810104,,2,ORL,2,6430,Jimmy Butler III,M-M,Regular Season,401810104-401810104299,2,shooting,away
2,2:34,2025-11-19,401810104,,2,ORL,2,3975,Stephen Curry,M-M,Regular Season,401810104-401810104311,2,shooting,away
2,11:47,2025-11-19,401810104,,1,ORL,3,4897262,Will Richard,M-X,Regular Season,401810104-401810104363,2,shooting,away
2,2:48,2025-11-19,401810104,,2,ORL,3,3213,Al Horford,M-M,Regular Season,401810104-401810104481,2,shooting,away
2,2:07,2025-11-19,401810104,,2,ORL,3,3213,Al Horford,M-M,Regular Season,401810104-401810104488,2,shooting,away
